system,lig,RMSDi,RMSDf,idx
BRD4,ligand-1_molgrid,14.53332,0.08948,0
BRD4,ligand-2_molgrid,3.48216,0.05988,1
BRD4,ligand-3_molgrid,16.62793,0.02549,2
BRD4,ligand-4_molgrid,16.26045,0.08872,3
BRD4,ligand-5_molgrid,7.33152,0.03478,4
BRD4,ligand-6_molgrid,19.50320,0.03359,5
BRD4,ligand-7_molgrid,21.96892,0.01935,6
BRD4,ligand-8_molgrid,3.88834,0.03594,7
BRD4,ligand-9_molgrid,7.50259,0.04049,8
BRD4,ligand-10_molgrid,23.96117,0.03058,9
CDK2,CS1,7.76049,0.02249,0
CDK2,CS3,33.73753,0.05842,1
CDK2,CS4,45.84626,0.04154,2
CDK2,CS9,21.32396,0.03438,3
CDK2,CS11,45.38319,0.03665,4
CDK2,CS18,52.59247,6.74806,5
CDK2,CS19,40.70418,0.03655,6
CDK2,CS20,53.75269,0.02216,7
CDK2,CS241,9.98424,0.05058,8
CDK2,CS242,18.09239,0.03614,9
CDK2,CS245,8.53487,0.05007,10
CDK2,CS246,47.37760,0.04862,11
CDK2,CS248,22.94933,0.04562,12
CDK2,CS260,19.27760,0.04721,13
CDK2,CS261,52.70932,0.04729,14
CDK2,CS262,8.98557,0.02237,15
